,Image,Acc,F1,Jaccard,Recall,Precision
48,09_test_0,0.9584732055664062,0.5537793080832923,0.3829148007482569,0.8594147582697201,0.40850266086115145
49,09_test_1,0.9578475952148438,0.5478723404255319,0.3772893772893773,0.8511314518179507,0.40394593942319296
50,09_test_2,0.9587173461914062,0.5523659827928523,0.38156466083776214,0.8494910941475827,0.4092302034812454
51,09_test_3,0.9571456909179688,0.5076262272089762,0.3401468428781204,0.760173273825151,0.38103697854980917
52,09_test_4,0.9541969299316406,0.5540906896423664,0.38321261622232494,0.8114870009790057,0.42066087741062363
53,09_test_5,0.9639739990234375,0.5190466490120187,0.35048143053645114,0.834179080045834,0.37672802543062023
54,10_test_0,0.9510459899902344,0.5379990639737913,0.36798818025116964,0.9242949035131123,0.37942416086934444
55,10_test_1,0.9523696899414062,0.5407870540639942,0.37060187518903115,0.909450766947056,0.38480058620328694
56,10_test_2,0.9506340026855469,0.5351151345331752,0.3652950120162833,0.921326076199901,0.3770566496228421
57,10_test_3,0.9499320983886719,0.5011592109763977,0.33436454001420024,0.8451480579412896,0.3561858454889249
58,10_test_4,0.9491691589355469,0.5338790359254207,0.3641439205955335,0.8845485104903211,0.38231462925851706
59,10_test_5,0.9317703247070312,0.5613596233078282,0.39020149330060344,0.8411730119065118,0.4212366580787633
60,11_test_0,0.9439773559570312,0.5205980283345303,0.3518976169461606,0.9370152761457109,0.36042306996926415
61,11_test_1,0.9426918029785156,0.5161830536858716,0.34787515735555846,0.9433784579164214,0.35529349175385705
62,11_test_2,0.9436531066894531,0.5208110300081102,0.3520922887972629,0.9432432432432433,0.35971319740085145
63,11_test_3,0.9411735534667969,0.47840351767292416,0.31440892722180236,0.8762235162929005,0.32902205266586027
64,11_test_4,0.9457359313964844,0.5197663819587455,0.3511380741686813,0.9205931595312127,0.362105461216426
65,11_test_5,0.9370498657226562,0.41411631044521763,0.2611265335363123,0.931629392971246,0.26622843056696793
66,12_test_0,0.9483757019042969,0.5370959466393022,0.36714365881032546,0.8983865430827326,0.3830503512880562
67,12_test_1,0.9462699890136719,0.5319509520486492,0.3623523020507945,0.9151612165561399,0.37494729938633065
68,12_test_2,0.9469757080078125,0.5316080334276857,0.3620341472370112,0.9026204371209521,0.3767492955055643
69,12_test_3,0.9466476440429688,0.4814238042269188,0.31702314679167887,0.8063594584523661,0.3431471007981394
70,12_test_4,0.94244384765625,0.5437832607643929,0.373421926910299,0.8716556804963164,0.3951485322552294
71,12_test_5,0.9511528015136719,0.46922279792746124,0.3065258597346331,0.8767038413878563,0.3203350500877243
